Date,Text,Score
2011-01-01,['nannan'],"('neg', 1.0)"
2011-01-09,['nannan'],"('neg', 1.0)"
2011-01-02,['nannan'],"('neg', 1.0)"
2011-01-03,['nannan'],"('neg', 1.0)"
2011-01-10,['nannan'],"('neg', 1.0)"
2011-01-13,['nannan'],"('neg', 1.0)"
2011-01-04,['nannan'],"('neg', 1.0)"
2011-01-14,['nannan'],"('neg', 1.0)"
2011-01-15,['nannan'],"('neg', 1.0)"
2011-01-08,['nannan'],"('neg', 1.0)"
2011-01-05,['nannan'],"('neg', 1.0)"
2011-01-07,['nannan'],"('neg', 1.0)"
2011-01-12,['nannan'],"('neg', 1.0)"
2011-01-18,['nannan'],"('neg', 1.0)"
2011-01-19,['nannan'],"('neg', 1.0)"
2011-01-22,['nannan'],"('neg', 1.0)"
2011-01-23,['nannan'],"('neg', 1.0)"
2011-01-21,['nannan'],"('neg', 1.0)"
2011-01-24,['nannan'],"('neg', 1.0)"
2011-01-25,['nannan'],"('neg', 1.0)"
2011-01-26,['nannan'],"('neg', 1.0)"
2011-01-17,['nannan'],"('neg', 1.0)"
2011-01-16,['nannan'],"('neg', 1.0)"
2011-01-11,['nannan'],"('neg', 1.0)"
2011-01-27,['nannan'],"('neg', 1.0)"
2011-01-31,['nannan'],"('neg', 1.0)"
2011-01-30,['nannan'],"('neg', 1.0)"
2011-01-29,['nannan'],"('neg', 1.0)"
2011-01-28,['nannan'],"('neg', 1.0)"
2011-02-06,['nannan'],"('neg', 1.0)"
2011-02-02,['nannan'],"('neg', 1.0)"
2011-01-06,['nannan'],"('neg', 1.0)"
2011-02-04,['nannan'],"('neg', 1.0)"
2011-02-05,['nannan'],"('neg', 1.0)"
2011-02-01,['nannan'],"('neg', 1.0)"
2011-02-07,['nannan'],"('neg', 1.0)"
2011-02-08,['nannan'],"('neg', 1.0)"
2011-02-10,['nannan'],"('neg', 1.0)"
2011-02-12,['nannan'],"('neg', 1.0)"
2011-02-11,['nannan'],"('neg', 1.0)"
2011-02-13,['nannan'],"('neg', 1.0)"
2011-02-03,['nannan'],"('neg', 1.0)"
2011-02-09,['nannan'],"('neg', 1.0)"
2011-02-15,['nannan'],"('neg', 1.0)"
2011-02-16,['nannan'],"('neg', 1.0)"
2011-02-14,['nannan'],"('neg', 1.0)"
2011-01-20,['nannan'],"('neg', 1.0)"
2011-02-19,['nannan'],"('neg', 1.0)"
2011-02-20,['nannan'],"('neg', 1.0)"
2011-02-17,['nannan'],"('neg', 1.0)"
2011-02-21,['nannan'],"('neg', 1.0)"
2011-02-24,['nannan'],"('neg', 1.0)"
2011-02-18,['nannan'],"('neg', 1.0)"
2011-02-25,['nannan'],"('neg', 1.0)"
2011-02-26,['nannan'],"('neg', 1.0)"
2011-02-27,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-02-23,['nannan'],"('neg', 1.0)"
2011-03-01,['nannan'],"('neg', 1.0)"
2011-03-02,['nannan'],"('neg', 1.0)"
2011-03-03,['nannan'],"('neg', 1.0)"
2011-03-04,['nannan'],"('neg', 1.0)"
2011-02-28,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-03-05,['nannan'],"('neg', 1.0)"
2011-03-08,['nannan'],"('neg', 1.0)"
2011-03-07,['nannan'],"('neg', 1.0)"
2011-03-06,['nannan'],"('neg', 1.0)"
2011-03-11,['nannan'],"('neg', 1.0)"
2011-02-22,['nannan'],"('neg', 1.0)"
2011-03-13,['nannan'],"('neg', 1.0)"
2011-03-12,['nannan'],"('neg', 1.0)"
2011-03-09,['nannan'],"('neg', 1.0)"
2011-03-15,['nannan'],"('neg', 1.0)"
2011-03-17,['nannan'],"('neg', 1.0)"
2011-03-16,['nannan'],"('neg', 1.0)"
2011-03-19,['nannan'],"('neg', 1.0)"
2011-03-20,['nannan'],"('neg', 1.0)"
2011-03-21,['nannan'],"('neg', 1.0)"
2011-03-14,['nannan'],"('neg', 1.0)"
2011-03-23,['nannan'],"('neg', 1.0)"
2011-03-22,['nannan'],"('neg', 1.0)"
2011-03-24,['nannan'],"('neg', 1.0)"
2011-03-25,['nannan'],"('neg', 1.0)"
2011-03-27,['nannan'],"('neg', 1.0)"
2011-03-28,['nannan'],"('neg', 1.0)"
2011-03-18,['nannan'],"('neg', 1.0)"
2011-04-01,['nannan'],"('neg', 1.0)"
2011-03-10,['nannan'],"('neg', 1.0)"
2011-03-30,['nannan'],"('neg', 1.0)"
2011-04-05,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-04-04,['nannan'],"('neg', 1.0)"
2011-04-06,['nannan'],"('neg', 1.0)"
2011-03-29,['nannan'],"('neg', 1.0)"
2011-04-08,['nannan'],"('neg', 1.0)"
2011-04-09,['nannan'],"('neg', 1.0)"
2011-04-10,['nannan'],"('neg', 1.0)"
2011-04-11,['nannan'],"('neg', 1.0)"
2011-04-07,['nannan'],"('neg', 1.0)"
2011-04-14,['nannan'],"('neg', 1.0)"
2011-04-13,['nannan'],"('neg', 1.0)"
2011-03-31,['nannan'],"('neg', 1.0)"
2011-04-16,['nannan'],"('neg', 1.0)"
2011-04-18,['nannan'],"('neg', 1.0)"
2011-04-17,['nannan'],"('neg', 1.0)"
2011-03-26,['nannan'],"('neg', 1.0)"
2011-04-19,['nannan'],"('neg', 1.0)"
2011-04-20,['nannan'],"('neg', 1.0)"
2011-04-15,['nannan'],"('neg', 1.0)"
2011-04-24,['nannan'],"('neg', 1.0)"
2011-04-23,['nannan'],"('neg', 1.0)"
2011-04-02,['nannan'],"('neg', 1.0)"
2011-04-03,['nannan'],"('neg', 1.0)"
2011-04-25,['nannan'],"('neg', 1.0)"
2011-04-27,['nannan'],"('neg', 1.0)"
2011-04-26,['nannan'],"('neg', 1.0)"
2011-04-21,['nannan'],"('neg', 1.0)"
2011-04-12,['nannan'],"('neg', 1.0)"
2011-04-29,['nannan'],"('neg', 1.0)"
2011-04-28,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-05-02,['nannan'],"('neg', 1.0)"
2011-05-04,['nannan'],"('neg', 1.0)"
2011-05-01,['nannan'],"('neg', 1.0)"
2011-05-03,['nannan'],"('neg', 1.0)"
2011-04-22,['nannan'],"('neg', 1.0)"
2011-05-05,['nannan'],"('neg', 1.0)"
2011-05-06,['nannan'],"('neg', 1.0)"
2011-05-07,['nannan'],"('neg', 1.0)"
2011-05-08,['nannan'],"('neg', 1.0)"
2011-05-11,['nannan'],"('neg', 1.0)"
2011-04-30,['nannan'],"('neg', 1.0)"
2011-05-10,['nannan'],"('neg', 1.0)"
2011-05-09,['nannan'],"('neg', 1.0)"
2011-05-17,['nannan'],"('neg', 1.0)"
2011-05-14,['nannan'],"('neg', 1.0)"
2011-05-16,['nannan'],"('neg', 1.0)"
2011-05-15,['nannan'],"('neg', 1.0)"
2011-05-19,['nannan'],"('neg', 1.0)"
2011-05-18,['nannan'],"('neg', 1.0)"
2011-05-21,['nannan'],"('neg', 1.0)"
2011-05-22,['nannan'],"('neg', 1.0)"
2011-05-12,['nannan'],"('neg', 1.0)"
2011-05-23,['nannan'],"('neg', 1.0)"
2011-05-28,['nannan'],"('neg', 1.0)"
2011-05-29,['nannan'],"('neg', 1.0)"
2011-05-27,['nannan'],"('neg', 1.0)"
2011-05-25,['nannan'],"('neg', 1.0)"
2011-05-26,['nannan'],"('neg', 1.0)"
2011-05-20,['nannan'],"('neg', 1.0)"
2011-05-31,['nannan'],"('neg', 1.0)"
2011-06-03,['nannan'],"('neg', 1.0)"
2011-05-24,['nannan'],"('neg', 1.0)"
2011-05-30,['nannan'],"('neg', 1.0)"
2011-06-08,['nannan'],"('neg', 1.0)"
2011-06-05,['nannan'],"('neg', 1.0)"
2011-05-13,['nannan'],"('neg', 1.0)"
2011-06-06,['nannan'],"('neg', 1.0)"
2011-06-12,['nannan'],"('neg', 1.0)"
2011-06-11,['nannan'],"('neg', 1.0)"
2011-06-02,['nannan'],"('neg', 1.0)"
2011-06-13,['nannan'],"('neg', 1.0)"
2011-06-14,['nannan'],"('neg', 1.0)"
2011-06-04,['nannan'],"('neg', 1.0)"
2011-06-01,['nannan'],"('neg', 1.0)"
2011-06-15,['nannan'],"('neg', 1.0)"
2011-06-07,['nannan'],"('neg', 1.0)"
2011-06-10,['nannan'],"('neg', 1.0)"
2011-06-17,['nannan'],"('neg', 1.0)"
2011-06-09,['nannan'],"('neg', 1.0)"
2011-06-18,['nannan'],"('neg', 1.0)"
2011-06-21,['nannan'],"('neg', 1.0)"
2011-06-16,['nannan'],"('neg', 1.0)"
2011-06-20,['nannan'],"('neg', 1.0)"
2011-06-23,['nannan'],"('neg', 1.0)"
2011-06-22,['nannan'],"('neg', 1.0)"
2011-06-26,['nannan'],"('neg', 1.0)"
2011-06-27,['nannan'],"('neg', 1.0)"
2011-06-25,['nannan'],"('neg', 1.0)"
2011-06-24,['nannan'],"('neg', 1.0)"
2011-06-30,['nannan'],"('neg', 1.0)"
2011-06-29,['nannan'],"('neg', 1.0)"
2011-07-01,['nannan'],"('neg', 1.0)"
2011-06-28,['nannan'],"('neg', 1.0)"
2011-07-02,['nannan'],"('neg', 1.0)"
2011-06-19,['nannan'],"('neg', 1.0)"
,['nannan'],"('neg', 1.0)"
2011-07-06,['nannan'],"('neg', 1.0)"
2011-07-10,['nannan'],"('neg', 1.0)"
2011-07-08,['nannan'],"('neg', 1.0)"
2011-07-07,"['san', 'francisco', 'u', 'judge', 'denied', 'apple', 'inc', 'attempt', 'quickly', 'stop', 'online', 'retailer', 'amazoncom', 'inc', 'using', 'app', 'store', 'name', 'according', 'court', 'document', 'san', 'francisco', 'july', '6', 'u', 'judge', 'denied', 'apple', 'inc', 'attempt', 'quickly', 'stop', 'online', 'retailer', 'amazoncom', 'inc', 'using', 'app', 'store', 'name', 'according', 'court', 'documentjudge', 'reject', 'apple', 'bid', 'injunction', 'amazonjudge', 'reject', 'apple', 'bid', 'injunction', 'amazon']","('pos', 0.7272727272727273)"
2011-07-05,['nannan'],"('neg', 1.0)"
2011-07-03,['nannan'],"('neg', 1.0)"
2011-07-04,['nannan'],"('neg', 1.0)"
